Order_ID,Date,Item_Name,Category,Weight_kg,Volumetric_Weight_kg,L_cm,W_cm,H_cm,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg
22,2025-12-10,Winter Jacket,Clothing,1.36,3.94,48,41,10,2,True,Air,1866,Kraft Paper Mailer,1.98,18.38
23,2025-12-03,Sofa (Sectional),Furniture,65.83,239.31,192,82,76,8,False,Road,1073,Wood Crate,97.32,128.39
24,2025-12-07,Smart Watch,Electronics,0.16,0.0,5,4,0,5,True,Road,163,Honeycomb Paper,1.06,0.013
25,2025-09-20,Office Chair,Furniture,13.82,31.25,62,56,45,5,False,Road,2894,Wood Crate,13.5,45.219
26,2025-10-01,Sofa (Sectional),Furniture,44.02,258.55,189,90,76,6,False,Road,796,Wood Crate,104.62,102.903
27,2025-03-20,Sofa (Sectional),Furniture,57.3,300.9,207,92,79,6,False,Road,1389,Wood Crate,121.56,208.975
28,2025-03-13,Smartphone,Electronics,0.26,0.02,15,6,1,9,True,Road,128,Mushroom Pkg (Mycelium),1.9,0.017
29,2025-05-30,Office Chair,Furniture,13.24,27.23,55,55,45,4,False,Road,710,Wood Crate,11.69,9.667
30,2025-06-29,Sofa (Sectional),Furniture,66.31,279.41,217,87,74,6,False,Road,2745,Wood Crate,112.96,383.49
31,2025-07-30,55-Inch TV,Electronics,17.19,7.3,120,76,4,10,True,Road,653,Mushroom Pkg (Mycelium),8.88,5.613
32,2025-08-04,55-Inch TV,Electronics,19.6,5.64,112,63,4,10,True,Road,984,Recycled PET Box,9.84,9.643
33,2025-08-14,55-Inch TV,Electronics,16.77,8.21,108,76,5,9,True,Road,2872,Mushroom Pkg (Mycelium),8.51,24.082
34,2025-07-23,Winter Jacket,Clothing,1.9,3.42,50,38,9,3,True,Road,484,Kraft Paper Mailer,1.97,0.828
35,2025-07-31,Ceramic Vase,Home Decor,1.79,1.44,15,15,32,10,False,Road,284,Mushroom Pkg (Mycelium),2.72,0.254
36,2025-08-13,Smartphone,Electronics,0.27,0.02,14,7,1,8,True,Air,1771,Mushroom Pkg (Mycelium),1.71,1.195
37,2025-11-07,Laptop,Electronics,2.19,0.24,32,19,2,7,True,Air,935,PLA Bioplastic,2.28,5.119
38,2025-08-14,Winter Jacket,Clothing,1.25,4.13,53,39,10,2,True,Road,157,Kraft Paper Mailer,2.05,0.324
39,2025-07-10,T-Shirt,Clothing,0.28,0.19,26,18,2,1,False,Road,119,Recycled PET Box,0.31,0.017
40,2025-12-06,Smartphone,Electronics,0.24,0.0,15,6,0,9,True,Air,1772,Mushroom Pkg (Mycelium),1.9,1.063
41,2025-12-01,Ceramic Vase,Home Decor,1.74,1.25,14,14,32,10,False,Air,2524,Mushroom Pkg (Mycelium),2.7,10.979
42,2025-01-17,Ceramic Vase,Home Decor,2.79,1.09,15,13,28,10,False,Air,2544,Mushroom Pkg (Mycelium),3.12,17.744
43,2025-09-27,Ceramic Vase,Home Decor,1.51,1.35,15,15,30,9,False,Road,583,Mushroom Pkg (Mycelium),2.4,0.44
44,2025-08-08,Ceramic Vase,Home Decor,2.87,1.35,15,15,30,9,False,Air,2886,Mushroom Pkg (Mycelium),2.95,20.707
45,2025-01-29,Sneakers,Clothing,0.87,1.61,32,21,12,5,False,Air,1835,Kraft Paper Mailer,1.64,7.386
46,2025-06-12,Ceramic Vase,Home Decor,1.63,1.34,15,14,32,10,False,Air,1422,Mushroom Pkg (Mycelium),2.65,5.795
47,2025-01-29,Winter Jacket,Clothing,1.29,3.47,47,41,9,4,True,Road,412,Bubble Wrap (LDPE),2.19,0.715
48,2025-05-03,Sneakers,Clothing,1.05,1.19,30,18,11,5,False,Air,1629,Kraft Paper Mailer,1.48,4.846
49,2025-04-24,Winter Jacket,Clothing,1.36,4.21,49,43,10,4,True,Air,1004,Kraft Paper Mailer,2.48,10.567
50,2025-06-12,Office Chair,Furniture,13.93,28.43,54,56,47,4,False,Road,131,Wood Crate,12.17,1.862
51,2025-03-03,Sneakers,Clothing,1.15,1.46,29,21,12,3,False,Air,1017,Kraft Paper Mailer,1.18,3.712
52,2025-09-11,55-Inch TV,Electronics,17.12,8.32,128,65,5,10,True,Road,2035,Mushroom Pkg (Mycelium),8.85,17.42
53,2025-05-19,Perfume Bottle,Beauty,0.47,0.04,9,5,4,8,True,Road,454,Mushroom Pkg (Mycelium),1.79,0.107
54,2025-08-08,Sofa (Sectional),Furniture,42.93,243.1,183,82,81,6,False,Road,1264,Wood Crate,98.44,153.639
55,2025-03-31,T-Shirt,Clothing,0.23,0.08,22,18,1,2,False,Air,1526,Kraft Paper Mailer,0.49,0.877
56,2025-07-04,Sneakers,Clothing,0.87,1.01,28,18,10,3,False,Road,604,Kraft Paper Mailer,1.0,0.305
57,2025-08-23,Winter Jacket,Clothing,1.47,3.76,51,41,9,2,True,Air,1727,Kraft Paper Mailer,1.9,16.234
58,2025-04-22,Sofa (Sectional),Furniture,77.46,253.97,185,88,78,5,False,Road,1545,Wood Crate,102.59,196.192
59,2025-04-24,Perfume Bottle,Beauty,0.43,0.03,9,4,4,9,True,Air,1759,Mushroom Pkg (Mycelium),1.97,1.891
60,2025-10-13,Perfume Bottle,Beauty,0.24,0.04,10,4,5,10,True,Road,505,Mushroom Pkg (Mycelium),2.1,0.061
61,2025-07-11,Glass Table,Furniture,17.29,6.17,98,63,5,9,False,Road,284,Mushroom Pkg (Mycelium),8.72,2.455
62,2025-10-02,Smart Watch,Electronics,0.1,0.0,4,4,1,5,True,Air,2408,Honeycomb Paper,1.04,0.602
63,2025-03-24,Sneakers,Clothing,0.99,1.38,32,18,12,4,False,Road,685,Kraft Paper Mailer,1.35,0.473
64,2025-04-22,55-Inch TV,Electronics,18.04,6.99,118,74,4,9,True,Road,981,Mushroom Pkg (Mycelium),9.02,8.849
65,2025-10-20,Laptop,Electronics,2.27,0.1,27,18,1,7,True,Air,1375,Honeycomb Paper,2.31,7.803
66,2025-08-30,Smart Watch,Electronics,0.13,0.0,4,5,0,4,True,Air,2654,Corrugated Cardboard,0.85,0.863
67,2025-11-29,Perfume Bottle,Beauty,0.47,0.05,10,5,5,8,True,Air,1251,Styrofoam (EPS),1.79,1.47
68,2025-05-11,Ceramic Vase,Home Decor,1.51,1.35,15,15,30,9,False,Road,108,Mushroom Pkg (Mycelium),2.4,0.082
69,2025-12-06,Ceramic Vase,Home Decor,1.57,1.16,13,14,32,9,False,Air,1967,Mushroom Pkg (Mycelium),2.43,7.72
70,2025-04-20,Laptop,Electronics,2.36,0.25,31,20,2,8,True,Air,1663,Mushroom Pkg (Mycelium),2.54,9.812
71,2025-07-09,Shampoo,Beauty,0.85,0.2,20,7,7,4,True,Air,944,PLA Bioplastic,1.14,2.006
72,2025-02-05,Smart Watch,Electronics,0.12,0.0,4,5,0,4,True,Air,1422,Mushroom Pkg (Mycelium),0.85,0.427
73,2025-12-12,Winter Jacket,Clothing,1.06,4.02,49,41,10,2,True,Road,765,Kraft Paper Mailer,2.01,1.538
74,2025-12-20,Perfume Bottle,Beauty,0.36,0.04,9,5,5,9,True,Air,1851,Mushroom Pkg (Mycelium),1.94,1.666
75,2025-08-09,55-Inch TV,Electronics,23.21,6.5,116,70,4,10,True,Road,2663,Mushroom Pkg (Mycelium),11.28,30.904
76,2025-04-08,Sneakers,Clothing,0.84,1.23,27,19,12,3,False,Road,255,Kraft Paper Mailer,1.09,0.157
77,2025-09-13,Laptop,Electronics,2.01,0.23,29,20,2,7,True,Road,151,Honeycomb Paper,2.2,0.152
78,2025-11-26,Laptop,Electronics,2.07,0.22,28,20,2,8,True,Air,1000,Mushroom Pkg (Mycelium),2.43,5.175
79,2025-06-08,T-Shirt,Clothing,0.21,0.21,27,19,2,2,False,Air,2971,Kraft Paper Mailer,0.48,1.56
80,2025-08-29,Winter Jacket,Clothing,1.98,4.04,47,43,10,3,True,Air,2231,Kraft Paper Mailer,2.22,22.533
81,2025-08-27,55-Inch TV,Electronics,20.3,6.54,112,73,4,10,True,Road,2632,Mushroom Pkg (Mycelium),10.12,26.715
82,2025-12-12,Laptop,Electronics,2.34,0.19,27,18,2,7,True,Road,432,Honeycomb Paper,2.34,0.505
83,2025-01-28,55-Inch TV,Electronics,20.75,8.18,109,75,5,9,True,Road,2146,Mushroom Pkg (Mycelium),10.1,22.265
84,2025-04-27,Laptop,Electronics,1.66,0.23,30,19,2,9,True,Road,234,Mushroom Pkg (Mycelium),2.46,0.194
85,2025-12-24,T-Shirt,Clothing,0.25,0.17,22,19,2,2,False,Air,2703,Kraft Paper Mailer,0.5,1.689
86,2025-12-24,Sofa (Sectional),Furniture,58.74,299.97,218,86,80,6,False,Road,1423,Wood Crate,121.19,213.429
87,2025-09-23,Sneakers,Clothing,1.08,1.66,32,20,13,3,False,Air,2151,Kraft Paper Mailer,1.26,8.927
88,2025-12-29,Smartphone,Electronics,0.24,0.02,14,6,1,9,True,Road,126,Mushroom Pkg (Mycelium),1.9,0.015
89,2025-12-30,55-Inch TV,Electronics,19.13,6.3,125,63,4,9,True,Road,1962,Mushroom Pkg (Mycelium),9.45,18.767
90,2025-09-11,Office Chair,Furniture,14.67,32.88,55,61,49,4,False,Road,1393,Wood Crate,13.95,22.901
91,2025-01-10,Shampoo,Beauty,0.91,0.21,19,8,7,3,True,Air,1430,PLA Bioplastic,0.96,3.253
92,2025-03-23,Smartphone,Electronics,0.25,0.02,13,6,1,8,True,Air,1478,Recycled PET Box,1.7,0.924
93,2025-03-02,Perfume Bottle,Beauty,0.32,0.03,9,4,4,10,True,Air,868,Mushroom Pkg (Mycelium),2.13,0.694
94,2025-03-15,Winter Jacket,Clothing,1.21,3.85,52,37,10,2,True,Air,2125,Kraft Paper Mailer,1.94,20.453
95,2025-10-03,Office Chair,Furniture,11.43,33.87,63,56,48,5,False,Road,1420,Wood Crate,14.55,24.048
96,2025-07-06,Smart Watch,Electronics,0.14,0.0,4,4,0,6,True,Air,1343,Honeycomb Paper,1.26,0.47
97,2025-07-13,Perfume Bottle,Beauty,0.23,0.05,10,5,5,8,True,Road,248,Mushroom Pkg (Mycelium),1.69,0.029
98,2025-06-16,Ceramic Vase,Home Decor,2.77,1.12,16,13,27,10,False,Road,672,Mushroom Pkg (Mycelium),3.11,0.931
99,2025-07-26,Sneakers,Clothing,0.8,1.15,29,18,11,3,False,Air,905,Kraft Paper Mailer,1.06,2.602
100,2025-01-31,Laptop,Electronics,2.46,0.12,28,21,1,9,True,Air,1034,Mushroom Pkg (Mycelium),2.78,6.359
101,2025-02-14,Laptop,Electronics,1.8,0.11,31,18,1,9,True,Air,2507,Recycled PET Box,2.52,11.282
102,2025-02-07,Laptop,Electronics,2.16,0.11,29,19,1,9,True,Road,286,Mushroom Pkg (Mycelium),2.66,0.309
103,2025-05-12,Winter Jacket,Clothing,1.43,4.26,52,41,10,4,True,Air,2997,Kraft Paper Mailer,2.5,31.918
104,2025-09-07,Sofa (Sectional),Furniture,49.35,304.1,209,97,75,5,False,Road,1213,Wood Crate,122.64,184.437
105,2025-01-23,T-Shirt,Clothing,0.29,0.19,23,21,2,1,False,Air,1755,Kraft Paper Mailer,0.32,1.272
106,2025-02-10,Glass Table,Furniture,15.51,5.51,102,54,5,9,False,Road,179,Mushroom Pkg (Mycelium),8.0,1.388
107,2025-04-03,Ceramic Vase,Home Decor,1.09,1.3,14,15,31,10,False,Road,564,Mushroom Pkg (Mycelium),2.52,0.367
108,2025-10-19,Perfume Bottle,Beauty,0.21,0.04,9,4,5,9,True,Road,329,Mushroom Pkg (Mycelium),1.88,0.035
109,2025-05-30,Shampoo,Beauty,0.74,0.2,20,7,7,3,True,Air,1590,PLA Bioplastic,0.9,2.941
110,2025-06-13,Laptop,Electronics,1.84,0.21,27,19,2,9,True,Road,148,Mushroom Pkg (Mycelium),2.54,0.136
111,2025-12-24,Perfume Bottle,Beauty,0.47,0.03,9,4,4,10,True,Road,644,Mushroom Pkg (Mycelium),2.19,0.151
112,2025-10-15,Smart Watch,Electronics,0.16,0.0,5,5,0,4,True,Air,2951,Corrugated Cardboard,0.86,1.18
113,2025-07-15,Smart Watch,Electronics,0.13,0.0,5,4,0,4,True,Air,1041,Corrugated Cardboard,0.85,0.338
114,2025-06-21,Winter Jacket,Clothing,1.63,4.47,52,43,10,3,True,Air,2459,Bubble Wrap (LDPE),2.39,27.479
115,2025-06-26,Smart Watch,Electronics,0.18,0.0,4,5,1,4,True,Air,1737,Corrugated Cardboard,0.87,0.782
116,2025-02-14,Sofa (Sectional),Furniture,75.43,249.63,206,83,73,8,False,Road,383,Wood Crate,101.45,47.804
117,2025-03-16,Winter Jacket,Clothing,1.7,4.3,50,43,10,4,True,Road,557,Kraft Paper Mailer,2.52,1.198
118,2025-02-01,Glass Table,Furniture,15.95,5.02,98,64,4,10,False,Road,2102,Mushroom Pkg (Mycelium),8.38,16.763
119,2025-07-02,Office Chair,Furniture,11.58,31.8,59,55,49,4,False,Road,1080,Wood Crate,13.52,17.172
120,2025-03-03,Ceramic Vase,Home Decor,2.9,1.38,16,16,27,10,False,Road,691,Mushroom Pkg (Mycelium),3.16,1.002
121,2025-09-07,Laptop,Electronics,2.22,0.1,27,18,1,8,True,Air,2423,Mushroom Pkg (Mycelium),2.49,13.448
122,2025-11-13,Laptop,Electronics,1.78,0.23,32,18,2,8,True,Air,959,Mushroom Pkg (Mycelium),2.31,4.268
123,2025-08-31,Smart Watch,Electronics,0.17,0.0,5,5,0,5,True,Air,2971,PLA Bioplastic,1.07,1.263
124,2025-01-16,Smartphone,Electronics,0.31,0.02,13,7,1,9,True,Air,1684,Mushroom Pkg (Mycelium),1.92,1.305
125,2025-06-30,Sneakers,Clothing,1.15,1.23,28,20,11,3,False,Air,2683,Kraft Paper Mailer,1.09,8.25
126,2025-09-29,T-Shirt,Clothing,0.29,0.18,24,19,2,1,False,Air,2332,Kraft Paper Mailer,0.32,1.691
127,2025-08-27,Sneakers,Clothing,1.16,1.17,28,19,11,3,False,Air,1258,Kraft Paper Mailer,1.07,3.68
128,2025-10-02,Smart Watch,Electronics,0.11,0.0,5,5,0,5,True,Road,206,Honeycomb Paper,1.04,0.011
129,2025-04-13,T-Shirt,Clothing,0.2,0.18,22,21,2,1,False,Road,578,Kraft Paper Mailer,0.28,0.058
130,2025-12-23,55-Inch TV,Electronics,15.93,7.37,110,67,5,9,True,Road,1662,Mushroom Pkg (Mycelium),8.17,13.238
131,2025-12-09,Winter Jacket,Clothing,1.01,3.82,53,40,9,3,True,Air,2156,Kraft Paper Mailer,2.13,20.59
132,2025-06-18,Ceramic Vase,Home Decor,1.54,0.95,13,13,28,9,False,Road,486,Mushroom Pkg (Mycelium),2.42,0.374
133,2025-07-16,T-Shirt,Clothing,0.27,0.09,23,20,1,1,False,Road,764,Kraft Paper Mailer,0.31,0.103
134,2025-05-13,Smart Watch,Electronics,0.2,0.0,4,5,0,5,True,Air,968,Honeycomb Paper,1.08,0.484
135,2025-11-20,T-Shirt,Clothing,0.24,0.09,24,18,1,2,False,Road,689,Kraft Paper Mailer,0.5,0.083
136,2025-06-09,Ceramic Vase,Home Decor,2.36,0.98,13,14,27,9,False,Air,1138,Mushroom Pkg (Mycelium),2.74,6.714
137,2025-06-26,Sneakers,Clothing,0.83,1.46,29,21,12,4,False,Air,1344,Kraft Paper Mailer,1.38,4.906
138,2025-09-11,55-Inch TV,Electronics,21.93,8.42,122,69,5,10,True,Road,323,Mushroom Pkg (Mycelium),10.77,3.542
139,2025-03-20,Perfume Bottle,Beauty,0.41,0.05,10,5,5,8,True,Air,2152,Mushroom Pkg (Mycelium),1.76,2.206
140,2025-08-13,Laptop,Electronics,1.72,0.23,30,19,2,8,True,Road,153,Mushroom Pkg (Mycelium),2.29,0.132
141,2025-05-12,Winter Jacket,Clothing,1.38,3.7,49,42,9,2,True,Air,1884,Kraft Paper Mailer,1.88,17.427
142,2025-05-10,Shampoo,Beauty,0.72,0.19,19,7,7,4,True,Road,539,PLA Bioplastic,1.09,0.194
143,2025-07-15,Ceramic Vase,Home Decor,2.41,1.26,14,15,30,10,False,Air,2387,Mushroom Pkg (Mycelium),2.96,14.382
144,2025-06-08,Sneakers,Clothing,1.14,1.25,29,18,12,5,False,Air,2963,Kraft Paper Mailer,1.5,9.259
145,2025-02-21,Glass Table,Furniture,16.97,5.55,94,59,5,10,False,Road,2374,Mushroom Pkg (Mycelium),8.79,20.143
146,2025-09-28,Office Chair,Furniture,10.44,42.03,61,65,53,6,False,Road,269,Wood Crate,18.01,5.653
147,2025-09-15,55-Inch TV,Electronics,18.73,6.6,127,65,4,10,True,Road,1357,Mushroom Pkg (Mycelium),9.49,12.708
148,2025-08-25,Perfume Bottle,Beauty,0.28,0.04,9,5,5,9,True,Road,293,Mushroom Pkg (Mycelium),1.91,0.041
149,2025-02-02,Sneakers,Clothing,1.03,1.53,31,19,13,4,False,Air,2107,Kraft Paper Mailer,1.41,8.059
150,2025-12-24,T-Shirt,Clothing,0.26,0.21,25,21,2,1,False,Air,2185,Styrofoam (EPS),0.3,1.42
151,2025-08-29,T-Shirt,Clothing,0.25,0.21,26,20,2,2,False,Air,2969,Kraft Paper Mailer,0.5,1.856
152,2025-12-22,T-Shirt,Clothing,0.15,0.21,25,21,2,2,False,Air,1993,Kraft Paper Mailer,0.48,1.046
153,2025-10-11,Laptop,Electronics,1.77,0.12,31,19,1,9,True,Air,2008,Mushroom Pkg (Mycelium),2.51,8.885
154,2025-07-15,Shampoo,Beauty,0.56,0.18,18,7,7,5,True,Air,2275,Wood Crate,1.22,3.185
155,2025-05-12,Smart Watch,Electronics,0.15,0.0,5,4,1,6,True,Road,494,Honeycomb Paper,1.26,0.037
156,2025-10-21,Winter Jacket,Clothing,1.67,3.58,51,39,9,3,True,Air,2925,Kraft Paper Mailer,2.03,26.179
157,2025-05-05,Ceramic Vase,Home Decor,1.32,1.13,14,15,27,10,False,Air,1716,Mushroom Pkg (Mycelium),2.53,5.663
158,2025-01-21,Glass Table,Furniture,17.12,4.7,105,56,4,10,False,Road,1878,Mushroom Pkg (Mycelium),8.85,16.076
159,2025-05-12,Sneakers,Clothing,0.99,1.37,30,19,12,5,False,Air,1056,Kraft Paper Mailer,1.55,3.617
160,2025-11-28,Sofa (Sectional),Furniture,63.86,238.46,184,90,72,6,False,Road,974,Wood Crate,96.58,116.13
161,2025-12-15,55-Inch TV,Electronics,24.96,6.53,115,71,4,10,True,Road,68,Mushroom Pkg (Mycelium),11.98,0.849
162,2025-12-21,Shampoo,Beauty,0.85,0.26,20,8,8,5,True,Air,2935,PLA Bioplastic,1.34,6.237
163,2025-06-03,T-Shirt,Clothing,0.18,0.1,23,21,1,1,False,Air,1436,Kraft Paper Mailer,0.27,0.646
164,2025-03-17,Sneakers,Clothing,0.99,1.13,27,19,11,3,False,Air,2407,Kraft Paper Mailer,1.05,6.8
165,2025-03-30,Office Chair,Furniture,13.03,35.9,55,64,51,5,False,Road,2965,Wood Crate,15.36,53.222
166,2025-10-16,Office Chair,Furniture,13.74,37.58,60,58,54,5,False,Road,981,Wood Crate,16.03,18.433
167,2025-07-08,T-Shirt,Clothing,0.16,0.2,25,20,2,1,False,Air,1205,Kraft Paper Mailer,0.28,0.603
168,2025-03-22,Sofa (Sectional),Furniture,40.51,269.36,200,91,74,8,False,Road,398,Wood Crate,109.34,53.603
169,2025-02-11,55-Inch TV,Electronics,17.29,6.09,119,64,4,9,True,Road,1960,Mushroom Pkg (Mycelium),8.72,16.944
170,2025-06-21,Laptop,Electronics,2.2,0.12,31,19,1,8,True,Air,1293,Mushroom Pkg (Mycelium),2.48,7.112
171,2025-07-21,Perfume Bottle,Beauty,0.24,0.03,9,4,4,10,True,Air,2672,Mushroom Pkg (Mycelium),2.1,1.603
172,2025-09-11,Smart Watch,Electronics,0.18,0.0,5,4,0,6,True,Road,317,Styrofoam (EPS),1.27,0.029
173,2025-03-25,Smartphone,Electronics,0.25,0.02,14,6,1,7,True,Air,1502,Honeycomb Paper,1.5,0.939
174,2025-07-29,Perfume Bottle,Beauty,0.32,0.04,9,5,4,8,True,Air,869,Mushroom Pkg (Mycelium),1.73,0.695
175,2025-05-26,Winter Jacket,Clothing,1.34,4.0,54,37,10,4,True,Air,2010,Wood Crate,2.4,20.1
176,2025-07-03,Sofa (Sectional),Furniture,47.16,270.12,181,91,82,5,False,Road,2511,Wood Crate,109.05,339.136
177,2025-04-06,Perfume Bottle,Beauty,0.27,0.04,10,4,5,9,True,Air,1292,Mushroom Pkg (Mycelium),1.91,0.872
178,2025-06-01,Glass Table,Furniture,18.38,4.54,93,61,4,10,False,Road,1894,Mushroom Pkg (Mycelium),9.35,17.406
179,2025-03-12,Ceramic Vase,Home Decor,1.49,1.05,13,13,31,9,False,Air,2278,Mushroom Pkg (Mycelium),2.4,8.486
180,2025-10-24,Shampoo,Beauty,0.51,0.24,21,8,7,3,True,Air,1093,PLA Bioplastic,0.8,1.394
181,2025-12-22,Sneakers,Clothing,0.9,1.3,27,20,12,4,False,Air,1434,Kraft Paper Mailer,1.32,4.66
182,2025-07-22,Smartphone,Electronics,0.27,0.02,15,6,1,9,True,Air,2050,Mushroom Pkg (Mycelium),1.91,1.384
183,2025-08-06,Office Chair,Furniture,14.32,39.97,61,63,52,5,False,Road,2302,Wood Crate,16.99,46.005
184,2025-11-20,Ceramic Vase,Home Decor,2.77,1.09,15,13,28,10,False,Air,2322,Mushroom Pkg (Mycelium),3.11,16.08
185,2025-08-22,Glass Table,Furniture,18.0,4.61,96,60,4,9,False,Road,1671,Mushroom Pkg (Mycelium),9.0,15.039
186,2025-08-28,Sneakers,Clothing,0.89,1.51,30,21,12,4,False,Air,2611,Kraft Paper Mailer,1.4,9.857
187,2025-03-15,Perfume Bottle,Beauty,0.48,0.04,10,5,4,9,True,Air,1212,Mushroom Pkg (Mycelium),1.99,1.454
188,2026-01-01,Winter Jacket,Clothing,1.67,4.16,52,40,10,2,True,Air,1065,Kraft Paper Mailer,2.06,11.076
189,2025-04-16,Sofa (Sectional),Furniture,77.28,298.2,209,82,87,8,False,Road,820,Wood Crate,120.88,122.262
190,2025-05-14,Smart Watch,Electronics,0.2,0.0,5,4,1,5,True,Air,1364,Honeycomb Paper,1.08,0.682
191,2025-10-17,Winter Jacket,Clothing,1.52,4.26,52,41,10,3,True,Air,2655,Recycled PET Box,2.3,28.276
192,2025-10-18,Sofa (Sectional),Furniture,42.17,308.46,212,97,75,5,False,Road,1795,Wood Crate,124.38,276.843
193,2025-12-25,Winter Jacket,Clothing,1.71,4.21,49,43,10,4,True,Air,1349,Kraft Paper Mailer,2.48,14.198
194,2025-08-21,Laptop,Electronics,1.88,0.25,30,21,2,8,True,Air,1962,Mushroom Pkg (Mycelium),2.35,9.221
195,2025-03-23,Smartphone,Electronics,0.25,0.0,13,6,0,9,True,Air,1007,Mushroom Pkg (Mycelium),1.9,0.629
196,2025-12-22,Sneakers,Clothing,0.87,1.51,30,21,12,4,False,Air,2366,Kraft Paper Mailer,1.4,8.932
197,2025-01-07,Shampoo,Beauty,0.58,0.2,18,7,8,5,True,Air,986,PLA Bioplastic,1.23,1.43
198,2025-07-18,Office Chair,Furniture,14.43,38.23,60,59,54,4,False,Road,1811,Wood Crate,16.09,34.617
199,2025-10-06,Glass Table,Furniture,13.15,6.17,95,65,5,10,False,Road,469,Mushroom Pkg (Mycelium),7.26,3.084
200,2025-03-09,Smartphone,Electronics,0.22,0.0,16,7,0,8,True,Road,261,Mushroom Pkg (Mycelium),1.69,0.029
201,2025-06-26,Laptop,Electronics,1.71,0.11,31,18,1,7,True,Air,943,Honeycomb Paper,2.08,4.031
202,2025-01-26,Perfume Bottle,Beauty,0.24,0.03,9,4,4,9,True,Air,1833,Mushroom Pkg (Mycelium),1.9,1.1
203,2025-02-06,Shampoo,Beauty,0.6,0.22,20,7,8,4,True,Air,2158,PLA Bioplastic,1.04,3.237
204,2025-08-04,Sneakers,Clothing,1.04,1.36,31,20,11,3,False,Air,2742,Kraft Paper Mailer,1.14,9.323
205,2025-08-19,Shampoo,Beauty,0.91,0.21,19,7,8,4,True,Air,997,PLA Bioplastic,1.16,2.268
206,2025-03-07,Office Chair,Furniture,13.99,38.5,64,64,47,4,False,Road,2449,Wood Crate,16.2,47.143
207,2025-07-28,55-Inch TV,Electronics,21.68,7.87,121,65,5,9,True,Road,2505,Mushroom Pkg (Mycelium),10.47,27.154
208,2025-03-17,Laptop,Electronics,2.06,0.11,28,19,1,7,True,Air,1540,Honeycomb Paper,2.22,7.931
209,2025-06-30,Perfume Bottle,Beauty,0.39,0.03,10,4,4,10,True,Road,694,Mushroom Pkg (Mycelium),2.16,0.135
210,2025-06-29,Winter Jacket,Clothing,1.85,3.86,46,42,10,2,True,Air,989,Kraft Paper Mailer,1.94,9.544
